edge_probability,method,n,original_edges,sparsified_edges,edge_ratio,time_sec,mem_proxy_bytes,connected,mse,mean_rel_err,stretch_max,stretch_p50,stretch_p90
0.01,GreedySpanner,496,1230,1214,0.9869918699186991,0.18463879200135125,29136,True,0.0155,0.004566666666666667,1.5,1.0,1.0
0.01,PartitionBased,496,1230,715,0.5813008130081301,0.04936754199843563,17160,True,13.2615,0.8354821428571428,8.0,1.75,2.6666666666666665
0.01,MultiResolution,496,1230,651,0.5292682926829269,0.04940670800169755,15624,True,55.3735,1.7528583333333336,16.0,2.6,4.0
0.02,GreedySpanner,500,2437,2324,0.9536315141567501,0.5702000830006,55776,True,0.038,0.014749999999999997,1.5,1.0,1.0
0.02,PartitionBased,500,2437,1117,0.4583504308576118,0.18311204199926578,26808,True,14.77,1.1994583333333333,10.0,2.0,3.3333333333333335
0.02,MultiResolution,500,2437,1102,0.4521953221173574,0.19328124999992724,26448,True,38.539,1.863375,13.0,2.6666666666666665,4.5
0.04,GreedySpanner,500,4878,4033,0.8267732677326773,1.727289333999579,96792,True,0.1275,0.066,2.0,1.0,1.5
0.04,PartitionBased,500,4878,1907,0.39093890938909387,0.459003792000658,45768,True,9.9195,1.209,8.0,2.0,3.5
0.04,MultiResolution,500,4878,1904,0.3903239032390324,0.45988712500002293,45696,True,12.9525,1.3705833333333333,8.0,2.3333333333333335,3.5
0.08,GreedySpanner,500,9996,6160,0.6162464985994398,4.955868708999333,147840,True,0.2525,0.13975,2.0,1.0,1.5
0.08,PartitionBased,500,9996,3115,0.311624649859944,0.9313605840015953,74760,True,7.4315,1.2334166666666666,7.0,2.5,3.0
0.08,MultiResolution,500,9996,3112,0.31132452981192477,0.9432377920002182,74688,True,15.4055,1.6546666666666665,10.0,2.5,4.5
