n,method,original_edges,sparsified_edges,edge_ratio,time_sec,mem_proxy_bytes,connected,mse,mean_rel_err,stretch_max,stretch_p50,stretch_p90
97,GreedySpanner,175,169,0.9657142857142857,0.0038213749994611135,4056,True,0.052,0.016841666666666665,2.0,1.0,1.0
97,PartitionBased,175,129,0.7371428571428571,0.005166791999727138,3096,True,5.1415,0.4881172619047619,9.0,1.25,2.3333333333333335
97,MultiResolution,175,114,0.6514285714285715,0.005178040999453515,2736,True,15.0085,0.9865571428571429,12.0,1.75,3.0
250,GreedySpanner,1204,1085,0.9011627906976745,0.12787029100036307,26040,True,0.0955,0.0425,2.0,1.0,1.0
250,PartitionBased,1204,506,0.420265780730897,0.052380209001057665,12144,True,9.778,1.1020833333333335,8.0,2.0,3.0
250,MultiResolution,1204,491,0.40780730897009965,0.052461125000263564,11784,True,31.011,1.9198333333333333,12.0,2.708333333333333,4.5
500,GreedySpanner,4878,4033,0.8267732677326773,1.6805619159986236,96792,True,0.1275,0.066,2.0,1.0,1.5
500,PartitionBased,4878,1907,0.39093890938909387,0.46171066600072663,45768,True,9.9195,1.209,8.0,2.0,3.5
500,MultiResolution,4878,1904,0.3903239032390324,0.46137479199933296,45696,True,12.9525,1.3705833333333333,8.0,2.3333333333333335,3.5
1000,GreedySpanner,19817,14481,0.7307362365645658,22.723732292000932,347544,True,0.2095,0.11025,2.0,1.0,1.5
1000,PartitionBased,19817,6921,0.3492455972145128,3.8167404169998917,166104,True,8.859,1.2235833333333332,7.0,2.5,3.0
1000,MultiResolution,19817,6915,0.3489428268658223,3.773914249999507,165960,True,11.5055,1.3718333333333332,7.0,2.5,3.5
