stretch,method,n,original_edges,sparsified_edges,edge_ratio,time_sec,mem_proxy_bytes,connected,mse,mean_rel_err,stretch_max,stretch_p50,stretch_p90
1.5,GreedySpanner,500,4878,4878,1.0,1.8205906250004773,117072,True,0.0,0.0,1.0,1.0,1.0
1.5,PartitionBased,500,4878,2223,0.45571955719557194,0.45756408399938664,53352,True,9.0335,1.1415833333333334,8.0,2.0,3.5
1.5,MultiResolution,500,4878,2223,0.45571955719557194,0.47038154199981363,53352,True,9.0335,1.1415833333333334,8.0,2.0,3.5
2.0,GreedySpanner,500,4878,4033,0.8267732677326773,1.708608875000209,96792,True,0.1275,0.066,2.0,1.0,1.5
2.0,PartitionBased,500,4878,1907,0.39093890938909387,0.45880495799974597,45768,True,9.9195,1.209,8.0,2.0,3.5
2.0,MultiResolution,500,4878,1904,0.3903239032390324,0.46854037499906553,45696,True,12.9525,1.3705833333333333,8.0,2.3333333333333335,3.5
3.0,GreedySpanner,500,4878,2406,0.4932349323493235,1.394795874999545,57744,True,0.6505,0.26025,3.0,1.0,1.5
3.0,PartitionBased,500,4878,1372,0.2812628126281263,0.4380341670002963,32928,True,12.176,1.36725,8.0,2.3333333333333335,3.5
3.0,MultiResolution,500,4878,1369,0.28064780647806475,0.4385731249985838,32856,True,16.0165,1.5536666666666665,9.0,2.5,4.0
4.0,GreedySpanner,500,4878,1479,0.3031980319803198,1.1009288750010455,35496,True,1.809,0.5173333333333333,4.0,1.3333333333333333,2.0
4.0,PartitionBased,500,4878,997,0.2043870438704387,0.4363117089997104,23928,True,17.647,1.6798333333333333,10.0,2.5,4.0
4.0,MultiResolution,500,4878,994,0.2037720377203772,0.42778841700055636,23856,True,22.2705,1.8685833333333335,10.0,2.6666666666666665,4.5
